Tweet,KS,KH,DH,TDH,SWA,LO,AK
Ini pasti salah Jokowi Ahok dan kafir-kafir ateis. ,1,0,0,1,0,0,0
@fahmiabuazzam1 biar aja biar tai nya kena bapak lo itu ya. Loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya.,0,0,1,0,0,0,0
RT @Lupuz0503: Prestasi Ahok Selain mjadi mafia koruptor n penista agama dirinya bhasil tenggelamkan JKT MELALUI congoran CEBON,1,0,1,1,0,0,0
Ulama Kompak Nyatakan Haram Pemimpin Kafir Pilih Ahok = Murtad!,1,1,0,1,0,0,1
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,0,0,1,0,0,0
@indopoints di tanah abang cina udah mulai resah dan stres gara2 si penista agama dan pilkada pasar jd sepi. Sepi sampai 2 minggu lg ha. ha,1,1,0,1,0,0,0
@investigator_RI betul dan semua pihak yg menentang si cina kafir ahok akan di kriminalisasi oleh polisi dgn smua rekayasa hukum nya,1,1,0,1,0,0,0
saya ga habis pikir kenapa fanboy ahok bego bego ya pada ga ngerti sejarah. Gampang kejebak iklan. Maaf ya.,1,0,0,1,0,0,0
@Zufrianto3 lebih baik pilih ahok drpd pilih yg se iman tp koruptor dn munafik !! Bodoh kau,1,0,0,1,0,0,0
Ahok si penghina Al - Qur'an dan Ulama ini selalu bersikap menjijikkan yaitu sok suci dan merasa paling benar ,1,0,0,1,0,0,0
Hidup china komunis ! ,1,1,0,1,0,0,0
Ini tuh kesalahan Jokowi dan Ahok si babi ateis. ,0,0,1,1,0,0,0
Kalo ahok menang pilkada bikin video sex bareng anaknya dong tan.? ,1,0,0,1,0,0,0
Keluarga Besar Kami Yang Berdomisili di Jakarta TIDAK PILIH AHOK!! Suara Ulama Bulat! #HaramPilihAhok #JanganGolput,1,0,0,0,0,0,0
RT @indopoints: china babi... china maling...#UsirChina ,1,1,1,1,0,0,1
tangkap ahok dan klompok nya yg melakukan pemalsuan e KTP karna merupakan penghiyanat bagi bangsa dan negara,1,0,0,1,0,0,1
Tangkap Ahok Sekarang Juga Share Jika Setuju !!!,0,0,0,0,0,0,1
Video Ahok Menghina Agama Kristen Agama Konyol #AhokPecahBelahBangsa,1,0,0,1,0,0,0
Bukan Hanya Penista Agama Bagi JPU Ahok Pemecah Belah Bangsa ,1,0,1,1,0,0,0
Nomor 1 sok tau lagi lansung di skak wkwkwk #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @Gemacan70: Ayoo jaga keutuhan NKRI!!! Tangkap Penista Agama!!! #StopKriminalisasiUlama ,1,0,0,1,0,0,0
Lupuz0503: Terlihat salah satu pendukung mafia koruptor dan penista agama A24 para gerombolan BANCI TITOT lakukan bidikan ke arah,1,0,0,1,0,0,0
RT @UstadTengku: Ya Allah Jika Mereka Menempuh Cara2 Curang utk Memenangkan Si Penista Agama Engkau Kirimkanlah MALAIKAT MAUT Utk menyeles\u2026,1,0,0,1,0,0,1
Kebanyakan fitnah nih mpok silvy #DebatFinalPilkadaJKT #Gue2,0,0,0,1,0,0,0
FPI: Pendukung Ahok kalah jumlah  dengan izin Allah kita gusur Gubernur koruptor dan penista agama ,1,0,0,1,0,0,1
#JakartaBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA. ,1,0,0,1,0,0,0
RT @felixsiauw: tapi twit begini asik lo  kita jadi tau yang mana akun-akun pro-penista agama  akun-akun buzzer yang kerjanya menghujat :),1,0,0,1,0,0,0
DivHumasHansip: ahoker siap bela penista agama A35,1,0,0,1,0,0,0
RT @alwinazar24: sepertinya CUCUnya DAJJAL telah hadir,0,0,1,0,0,0,0
Mereka Siang MALAM Maki2 Ulama Kita  Nongkrongi Medsos Ulama2 Bela PENISTA Agama yg SOMBONGNYA Minta AMPUN.,1,0,0,1,0,0,0
RT @Jhonkosmik: Ada apa dengan mayoritas etnis China di DKI?Mengapa begitu solid mendukung penista agama Islam?Dendam?Tidak nasionalis?,1,0,0,1,0,0,0
Mukanya mpo Silvy Asem bangett ngakak kena deh abis jahat sih #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @GodinJ760478: @tempodotco gara2 belain terdakwa penista agama jadi remek semua. Sukurin,1,0,0,1,0,0,0
RT @Chaeruddin_B: Sekumpulan Teman Penista Agama Tdk ada empati buat korban banjir  hanya koar2 memuji junjunganya ,1,0,0,1,0,0,0
RT @TerorisSocmed: PENJARAKAN PENISTA AGAMA !!! ATAU @jokowi TURUN !!! ,1,0,0,1,0,0,1
Si penista agama  Jaga mulut aja gabisa apalagi jaga jkt?,1,0,0,1,0,0,0
Ahok : program paslon no. 1 ini programnya ngambang | yaiyalah pakkk gak ada program diaa cma ada celaan #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Akui saja Ahok dan Djarot kalian gagal atasi banjir.Orang kena banjir anda sibuk sidang kasus penista agama,1,0,0,1,0,0,0
RT @87_julay: Iyaa... Ahog Ngak pantes jadi pemimpin.. Pantesnya penista agama dipenjarakan!!! ,1,0,0,1,0,0,1
RT @wongawas: Overdosis @Metro_TV membela penista agama. ,1,0,0,1,0,0,0
Kaga masuk diakal kite kalo suara seorang penista agama yg dah dikutuk ame umat islam suara nye bisa tinggi  emang sengaja ditinggiin tuh,1,0,0,1,0,0,0
RT @andreobz: Pantasan di pecat dr menteri...data2 aj ngawur dan memkasakan betul..hahaha #AhokPastiTumbang #paslon3 #pilgubdki,0,0,0,1,0,0,0
RT @BangsaPenguasa: Penjarakan ahoax penista agama atau jokowi turun.#KonsolidasiDewanPKB ,1,0,0,1,0,0,1
Napa dibiarin tim si penista agama maen curang maren  emang sengaja dibiarin biar ntar digaplok umat islam rame2 se jakarta tuh penista,1,0,0,1,0,0,1
Hahahahhahaa silvy ohh silvy cacingan amat loe ahhh wkwkwkwkwkk #DebatFinalPilkadaJKT,0,0,1,0,0,0,0
"RT @Rakyat_Angin: Ahok Taik. \""MENFITNAH\"". Emang lu tukang caci maki perempuannn!! Asuuu #AhokPastiTumbang #DebatFinalPilkadaJKT,1,0,1,1,0,0,0"
RT @HasanArisandi: #AhokPastiTumbang fakta di bilang fitnah #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Shame on you silvy !! Ga malu fitnah?? Tuh rasain pak ahok panas  skak mat #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Bu silvi anti pns level rendah katanya #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @AnnisaFYtr: Hanya Orang Islam Yang Bodoh dan Goblok Yang Memilik Ahok! #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
DivHumasHansip: fitnah FPI pecah adalah ulah ahoker yg melihat elektabilitas ahok tinggal 10% mereka kelojotan melihat MUI NU Muhammadi,1,0,0,1,0,0,0
Norak banget iklan mantan mendikbud @aniesbaswedan ini. Tambah gak respech.. inilah tenun kebangsaan yg dia maksud.\u2026 ,1,0,0,1,0,0,0
RT @DivHumasHansip: yg nebar kebencian itu ahok mbak masa mbak gak tau sih sampai dia jadi terdakwa loh @AnizzahGedrun,0,0,0,0,0,0,0
pertanyaan dari Bu Sylvi gak mutu amat. #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Huuu sylvi tak tahu apa-apa asal ngoceh #NobarAhokDjarot #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Sylvi keliatan bloonnya #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @WanitaRevolusi: Ahoax penista agama kembali mengolok olok surat AL-MAIDAH 51. Cc @Dahnilanzar,1,0,0,1,0,0,0
#JakartaBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA.,1,0,0,1,0,0,0
#DebatFinalPilkadaJKT mati kau hok,0,0,0,0,0,0,1
Yg ga punya program bisanya cuma fitnah. Ciri Orang yg demen ngambil kjp kontan #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Mpok silvi nyinyir melulu pertanyaan nya tapi sayang sesat! Maklum sih dese emakemak! #DebatFinalDKI #DebatFinalPilkadaJKT,0,0,1,1,0,0,0
RT @bajigurceleng: @jpnncom hahaha jelas2 buat pilkada dasar polisi made in cina pelindung penista agama,1,1,0,1,0,0,0
Kurangnya pemberdayaan wanita DKI Jakarta bisa dilihat dari telaknya perbedaan warna muka dan warna tangan mpok sylvi #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Agus silvy Tukang Fitnah #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
#DebatFinalPilkadaJKT yaudah gus sini kalo ga sakit secara fisik daripada verbal gw gebukin lo rame2,0,0,0,0,0,0,1
Keluarga kita gak ada yg maling coyy gak perlu trauma kaleeeee emang kluarga ente?,0,0,0,1,0,0,0
JG KAITKAN JOKOWI DENGAN AHOK KATA JOHAN BUDI. KATA KAMI. SEBAB JOKOWI ANJING. SEDANGKAN AHOK BABI. YA JELAS BERBEDA. WALAUPUN OTAKNYA SAMA,0,0,1,0,0,0,0
Bajingan lu silvy #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Hasil Akhir  Menyatakan @jokowi Melindungi Ahok TERDAKWA PENISTA AGAMA !!!,1,0,0,1,0,0,0
RT @SiBonekaKayu: Selepas banjir Jakarta 212 Pendukung Ahok mengganti narasi doa. Semua demi keuntungan Sang Penista Agama,1,0,0,1,0,0,0
Tionghoa katanya kaya? Kok pada putus sekolah? Kebanyakan dugem?,1,0,0,1,0,0,0
Gusur Ahok demi Indonesia. Teladan buruk pembangkangan hukum dan anti kemanusiaan di Jakarta jgn tertular ke daerah. #CoblosPecinya,1,0,0,1,0,0,1
BUAT AHOKER YANG TAKUT MATINYA GG DISHOLATIN  TENANG ADA ABU JANDA UST GADUNGAN YG SIAP SHOLATIN AHOKER & JOKOWER,1,0,0,0,0,0,0
Mampuuss ! Di tembak dalem banget silvyy .. lo urusin tuh dapurr ! Gak punya program demennya nyerang terus !!! #gue2 #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Uang Taipan tuh. Nanti dibayar dengan ratusan penggusuran biadab oleh Ahok.,1,0,0,1,0,0,0
CINA ASU ,1,1,0,1,0,0,0
Ketika ngomong  Sylvi keliatan oke. Tapi begitu didebat Ahok Sylvi langsung kekuatan goblok.,1,0,0,1,0,0,0
Jangankan Banjir  Tuhan aja Dilawan Sama Ahok #JakartaBanjir Tapi Jakarta hari Ini Bukan Banjir  Hanya GENANGAN.,1,0,0,1,0,0,0
ADA PEMIMPIM PRIBUMI knp pilih PEMIMPIN IMPOR yg g BERADAB tukang BERBOHONG yuk PRIBUMIKAN DKI milik BANGSA IND @Gemacan70 @TerorisSocmed,1,0,0,1,0,0,0
Karna dia ga punya program hanya modal bacot doang,0,0,0,1,0,0,0
Pendukung berarti dia bagian dr penista agama tersebut!!! Dukung gerakan ini 100%,1,0,0,1,0,0,0
Narkoba yg paling berbahaya adalah ILUSI KESUCIAN AHOK SANG PENISTA.,1,0,0,1,0,0,0
@tribunnews emang ahok siapa?? Orang penting?? Dia hanya penista agama!!,1,0,0,1,0,0,0
cina mah duitnya dari hasil maling di Indonesia di balikin lgi berkedok invest plus bawa gembel2 & napi dari Cina negeri nenek moyang ahok,1,1,1,1,0,0,0
Tangkap Ahok @basuki_btp skrng juga  koruptor reklamasi Jakarta dan penista Agama Islam.,1,0,0,1,0,0,1
keliatan banget bego nya mpok silvy and agus. #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Yg Ahokers  Klo gak seneng ama cuitan gw silahkan unfollow krn gw Anti AHOK (Si Penista Agama Islam),1,0,0,1,0,0,0
AGAMA DI NISTAKAN! ULAMA DI LECEHKAN!! Ini Alasannya #HaramPemimpinKafir,1,0,0,1,0,0,0
RT @FredyBastian3: Cara serang Ahok : Kafir galak,1,0,0,1,0,0,0
@umnia77 @ruhutsitompul @sahal_as anjing2 ahok.kaum babi lo bnyk bacot.mnding duel sma gw.,0,0,1,0,0,0,0
Ahok memang verbalnya keras. Pelampiasan dan pelarian karena kelelakiannya lunak.,0,0,0,1,0,0,0
yg maling itu kan china2 babi BLBI   korupsi nya triliunan   termasuk si AHok korupsi 2 triliun..,1,1,1,1,0,0,0
Mimpi djan farid jakarta lebih islami dari aceh jika ahok terpilih itu ibarat babi merindukan halal,1,0,1,0,0,0,0
@KompasTV @ridwankamil ridwal kamil memang hebat dan top nggak kaya ahok tukang penista agama dan koruptor,1,0,0,1,0,0,0
@TPK_RI ITULAH si ahok kutil babi,0,0,1,0,0,0,0
Dasar si Kutil babi ahok memang Tukang Bohong. selain Bohong ahok jg biasa Menyalahkan yg lain menutupi Kegagalan nya . contoh soal banjir,1,0,1,1,0,0,0
@PonkEcha @Fahrihamzah Si Terdakwa Penista Agama Alias Si Ahok Babi Jamban tuh yang Morfotin Uang Rakyat Jakarta,1,0,1,1,0,0,0
Om...Ahoknya...Mana Om Katanya Si BABi Ahok Bisa Ngatasi Banjir...Om...BABi Jgn Membual Om...?!!?,1,0,1,1,0,0,0
kenapa anak babi jalan nya nunduk???karena malu liat ulah bapak nya yang ngebelain ahok..,0,0,1,1,0,0,0
Perilaku Si BABI @jokoanwar ini memang benci dgn hal berbau Islam. Cocok dgn Ahok. @SiBonekaKayu,1,0,1,1,0,0,0
@budimandjatmiko ahok si kutil babi kembali ke rumah lembang kenapa jakarta jadi banjir bud?,1,0,1,1,0,0,0
#jujur orang cerdas dan pintar pilih orang imam dan mampu memimpin ..bisa sholat...bisa ngaji..santun  sopan..tidak seperti babi kafir ahok,1,0,0,1,0,0,0
Teman Ahok emank TAI. apalagi pemimpinnya kek BABI! @temanahok,1,0,0,1,0,0,0
Mana para babi ahok yg ngejek onta  biar di injek2 ama onta,0,0,0,1,0,0,1
@gotcancer2 bukannya stigma babi itu milik tuhan elu si ahok kafir,1,0,1,1,0,0,0
Kampungan ya pendukung AHY ,0,0,0,1,0,0,0
udah lu jgn panik gitu. ahok si kutil babi bakal tumbang kok di putaran kedua. teruskan cuapcuap mu di sosmed  gak ngaruh.,1,0,1,0,0,0,0
ahok tidak layak seperti manusia  dia lebih tepat seperti babi yg tidak punya akal pikiran dan jiwa manusiawi,0,0,1,1,0,0,0
@haloJakarta Ahok (BTP) Basuki Tai Babi,0,0,1,1,0,0,0
RT @diyahaudya: @yusuf_dumdum Yg ada  cacimaki penista agama tapi ternyata ketauan poligami ngumpet2. Apa mau digituin? Saya sih ogah.,1,0,0,1,0,0,0
iya   trump memang penista agama atau anti islam emang hubungannya dgn anis apa?,1,0,0,1,0,0,0
adichandramang2 Ada aseng KOPLO pembela si PENISTA AGAMA yg durjana nyuruh org lain ngaji!,1,0,0,1,0,0,0
 Itulah kebodohan para penista agama  sudah saatnya pilih pemimpin yg mengerjakan shalat 5 waktu,1,0,0,1,0,0,0
@iwanfals pilih Anis sandi doong..jgn pilih si penista agama pemecah NKRI,1,0,0,1,0,0,0
Emang terdakwa penista agama  salahnya dimana coba  kl yg biasa bikin hoax metrotipu aman2 aja tuh dewan peres,0,0,0,1,0,0,0
@RamadanMalka Pamor RK jadi seakan tak ada artinya jika parpol pengusungnya pendukung penista agama...,1,0,0,1,0,0,0
@RestySeterah si ahok pantasnya dinobatkan sbgai Babi ngepret,0,0,1,0,0,0,0
yg salah itu mereka menulis TERDAKWA PENISTA AGAMA coba klo ditulis BAGINDA YANG MULIA pasti ga masalah..cuih.,0,0,0,1,0,0,0
Faktanya Cina2 parasit tuh ngotot belain si penista Agama @PradanaBhakti @IrianaPasirua @PutraSumedang18 @khoirulilham12 @ronavioleta,1,0,1,1,0,0,0
jokowi ratu adil apaan..??? dia ga ada keturunan darah biruadanya DARAH KOTOR cina babi..!!! ,1,0,1,1,0,0,0
RT @RestySeterah: Keren nih apps kawal TPS .. Yuk gabung buat pastikan cagub terdakwa penista Agama lebih cepat diantar kehabitatnya,0,0,0,1,0,0,0
Kalau lo gak tau apa-apa ya jangan berkoar sembarangan dong  keliatan banget kalau lo itu beneran bego :)) #FuckYou,0,0,0,1,0,0,0
@AHMADDHANIPRAST ahmad dhani yang terhormat paling babi paling anjing aing kontol paling lonte tungu saat nya karier mu akan habis!!!!,0,0,1,0,0,0,0
Kang @ridwankamil  fakta hari ini partai pendukung si penista agama sangat dibenci rakyat termasuk rakyat Jabar. ,0,0,0,1,0,0,0
plis jangan sok kecantikan selalu pacarin artis2 yang lagi meletek  jijik gw liatnya,0,0,0,1,0,0,0
paling mau muntah liat lagak nya @AHMADDHANIPRAST  jadi orang sok iye banget hoek,0,0,0,1,0,0,0
@Metro_TV kalau boleh saya ngomong ingin saya katakan ahmad dhani monyet babi anjing. tapi itu tidak boleh,0,0,1,0,0,0,0
perempuan kaya lo mending mati aja deh  jelek aja  gausa sok jadi make up artist!,1,0,0,0,1,0,1
ahmad dhani itu borok sampah  babi  anjing. Saya adalah orang pertama yg sangat muak liat muka dhani dan saya berbangga.,0,0,1,0,0,0,0
Lah emang sdh jelas2 si ahok terdakwa penista agama. Malu woy! ,1,0,0,1,0,0,0
Keputusan ERKA hari ini harus kita HORMATI  begitupun sebaliknya KAMI tidak akan memilih partai pendukung PENISTA AGAMA.,1,0,0,1,0,0,0
Lupakan @ridwankamil biarkan karam dg kapal munafiknya. kita bangun jabar dg kapal yg bersih. Delete partai pendukung penista agama dari hati,0,0,0,1,0,0,0
Masalah dunia dan masalah nafsu ya kang @ridwankamil . Kata2 kok bersayap kayak burung hantu. ,0,0,0,1,0,0,0
Penista Agama menjadi Santri Kehormatan.Yang kasih ini ke ahok otaknya perlu direparasi.Demi Pulkada nama Santri yg baik kailan jual belikan,1,0,0,1,0,0,0
Payah banget @ridwankamil maju Jabar1 pakai partai Nasdem pendukung penista agama  ente lagi butuh uang ya kang? Payah loe!!,1,0,0,1,0,0,0
polisi yg jadi imam sholat ini adalah seorang penista agama bodoh  BERISLAM cuma ikut2an. COPOT KAPOLRES JAKBAR !!,1,0,0,1,0,0,1
RT @ferdyfrodoo: @bayprio Itulah kebodohan para penista agama  sudah saatnya pilih pemimpin yg mengerjakan shalat 5 waktu,1,0,0,1,0,0,0
RT @Ra_Ria_Rana: GAK HABIS PIKIR???TINGGAL NUNGGU ADZAB ALLAH NIH NEGERI  PEMIMPINNYA SDH DZALIM ,0,0,0,1,0,0,0
Sini lu  kami enggak mau kampung kami didatangi sama penista agama,1,0,0,0,0,0,0
SETUJU SAYA KLAU AHOK DAPAT GELAR SANTRI KEHORMATAN.... TAPI SANTRI KEHORMATAN BABI.... ,1,0,1,0,0,0,0
Senang dong ada yg fans mati sampai lupa kalau dia bego banget ,0,0,0,1,0,0,0
@AHMADDHANIPRAST LO TUH BABI ANJING. Mampus kalah jatuh miskin deh #bekasisah,0,0,1,1,0,0,0
@bayprio : Si AHOAK @basuki_btp CINA ANJING KAFIR PENISTA AGAMA ISLAM....!!!,1,1,1,1,0,0,0
aku katakan anjing kpd ahmad dani  boleh....aku katakan babi kpd ahmad dhani  boleh?,0,0,1,0,0,0,0
haha memaki untuk melawan mah harus  drpd ditindas pemimpin munafik melindungi penista agama  dll. Agama no 1 (islam)  taubat rot,1,0,0,1,0,0,0
pikiran anak bani kampret g beda jauh sma penista agama. Penfitnah  Penipu Dan Garong.,1,0,1,1,0,0,0
@Gemacan70 itu yg cewe pake kerudung ngapain ya? Setiap kali konfrensi pers ada aja.. Pencitraan Islami kaliiii... Bwahaha..!!,1,0,0,1,0,0,0
@republikaonline spt ahok dulu .. nasdem disusul dg cs nya .. yg mendukung paslon penista agama dan tukang caci maki tai tai ..,1,0,1,1,0,0,0
@topan_julian1 kalo mecin jangan dijadiin cemilan mangkannya kang. Jadi begonya bego banget.,0,0,0,1,0,0,0
@ulinyusron cm didoain kalau saya mah ketemu si penista agama langsung saya ceburin laut yg direklamasi ijin sembunyi2 buat tumbal reklamasi,1,0,0,1,0,0,1
cabe2an bisa nya hanya bbm.n facrbook.n!! Masalah politik mana tau doi  tau nya berita2 sampah pencitraan,1,0,0,1,0,0,0
INI MANUSIA APA ANJING MATI-MATIAN RELA JADI MURTADZ DEMI BABI AHOK KAFIR.,1,0,1,1,0,1,0
ini semua berawal dari AHOK JAMBAN yg dibela aparat  para kristen serta china kafir yang lain semakin berani menghi ,1,1,1,1,0,0,0
Kami lebih resah anda jd presiden!!!! hidup anda penuh drama dan pencitraan  main FTV aja joko judulnya ,0,0,0,1,0,0,0
Mana bisa percya lagi sdgkan induknya penista smp skrg lum ditahan tp malah dibela.,0,0,0,1,0,0,0
Mari seluruh Muslim CYBER Army mulai skrg ganti semua sebutan A....K menjadi Terdakwa Penista Agama !,1,0,0,1,0,0,0
Orang Islam lebih suka si HOAX penista agama  menjaga lisan dan tindakan dari hal-hal yang merusak hubungan?,1,0,0,1,0,0,0
RT @izzah_pandeka: #Nomor2Koruptor negeri para korup diasuh cino babi ,1,1,0,1,0,0,0
RT @Gemacan70: Hajar bleh hanya untuk bela #Nomor2Koruptor...cuihhhhhh ,1,0,0,1,0,0,0
RT @korban_gusur: @RakyatBiasa1945 Ada CEBONG GENDHENG NGAMUK2 belain si HOMO PENISTA AGAMA!! HAHAHA @OshMuslim @RebusKentang @m3g4,1,0,0,1,0,0,0
RT @Ustadtengku1: @RizieqSyihabFPI tolol itu banyak yg bela penista agama walau sudah tersangka,1,0,0,1,0,0,0
Orang punya saksi anjing dikasus babi.. Tolol ,0,0,1,0,0,0,0
Si Ahok kampret emang gak becus kerja. Pencitraan mlulu tuh si Ahok kampret. ,0,0,1,1,0,0,0
Tanda2 kiamat x yak  masih banyak aja orang muslim yg mengingkari Al-Quran dan pilih Penista Agama. #Nomor2Koruptor #Nomor2Koruptor,1,0,0,1,0,0,0
#JanganMauDibohongiAhok sebab Ahok Sumber Kekacauan Politik  Ramaikan Aski 313 FIGHT!!,1,1,0,1,0,0,0
#MataNajwaDebatJakarta Anies anda SADIS. Topengmu terbuka lebar malam ini. Biar warga DKI yg menilai...apa yg anda katakan adalah PENGECUT,0,0,0,1,0,0,0
Anies congornya aja gede. Realisasinya gak ada. Janji terus dari awal bisanya paling korupsi. Balik jadi dosen aja bangsat.,1,0,0,1,0,0,0
#MataNajwaDebatJakarta Hebatnya  Ahok masih mau salaman loh sm Pak Anies yang Amat terhormat. Idih gw sih ogah.,0,0,0,0,0,0,1
#MataNajwaDebatJakarta kalau untuk urusan bacot memang anis nya juaranya..memang kita bakal makan bacot di jakarta..haha..paslon yg aneh gede bacot doang.,0,0,0,1,0,0,0
#MataNajwaDebatJakarta pak anies banyak omdo dulu waktu jd menteri terobosannya apa?? skrg ngomong ky sok Jago bgt,0,1,0,1,0,0,0
#MataNajwaDebatJakarta si Cina Babi ahok bloon banget. Sok pinter banget lagi. Asal bukan Ahok,0,0,1,1,0,0,0
#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha,1,1,0,1,0,0,0
#MataNajwaDebatJakarta topeng anda hari ini fix terbuka @aniesbaswedan .. anda sama dgn yg mendukung anda.. BAU BUSUK,0,0,1,1,0,0,0
#MataNajwaDebatJakarta Pak Anies suka nyinyir  suka memutar balik kan fakta  ga punya program yg jelas bisanya jelekkan kinerja pak Basuki,0,0,0,1,0,0,0
Babi... iya memang si Ahok gak jauh kayak Babi..,0,0,1,0,0,0,0
Si tengkuk babi sipit bangke agen dajjal mau jadi onta hahaha. Orang waras juga tau kasus ahok dipaksakan!!,0,1,1,0,0,0,0
